s,X,Y,phi,kappa,w
4.557793529468171556e+01,-2.476688881913438678e+01,3.198342070768157797e+01,-4.736992162494893854e+00,-9.758120629458595652e-02,1.500000000000000000e+00
4.620229057269105510e+01,-2.473296991030658276e+01,3.260765850449568148e+01,-4.795548556627936776e+00,-8.958290773042833222e-02,1.500000000000000000e+00
4.682664585070038754e+01,-2.466448356057959401e+01,3.322807054685483763e+01,-4.847940002870354981e+00,-7.828470894459818585e-02,1.500000000000000000e+00
4.745100112870972708e+01,-2.456572759628690505e+01,3.384460015829288437e+01,-4.893346166261834718e+00,-6.719810933053099733e-02,1.500000000000000000e+00
4.807535640671906663e+01,-2.444111302301432431e+01,3.445649668010070599e+01,-4.932337279735643065e+00,-5.826400127851525529e-02,1.500000000000000000e+00
4.869971168472840617e+01,-2.429434523541916136e+01,3.506334037844347051e+01,-4.966197766571597505e+00,-5.021142153554721682e-02,1.500000000000000000e+00
4.932406696273774571e+01,-2.412862664471392193e+01,3.566525869929023429e+01,-4.995142516151306999e+00,-4.314490061136210669e-02,1.500000000000000000e+00
4.994842224074708525e+01,-2.394665439813574181e+01,3.626260633609167883e+01,-5.020517512560470408e+00,-3.812126141343417929e-02,1.500000000000000000e+00
5.057277751875642480e+01,-2.375061035454689318e+01,3.685517522794182810e+01,-5.042743090375852333e+00,-3.309696515207664197e-02,1.500000000000000000e+00
5.119713279676575723e+01,-2.354213662314541367e+01,3.744380877996811563e+01,-5.062554400432421886e+00,-3.058043994832678608e-02,1.500000000000000000e+00
5.182148807477509678e+01,-2.332252237804358685e+01,3.802819496644224273e+01,-5.080936502736943972e+00,-2.830750582180412839e-02,1.500000000000000000e+00
5.244584335278443632e+01,-2.309259948355731495e+01,3.860861902426833581e+01,-5.098001568077440204e+00,-2.666158032764308697e-02,1.500000000000000000e+00
5.307019863079377586e+01,-2.285302079788841567e+01,3.918517736097283688e+01,-5.114313328146417703e+00,-2.558897044992232417e-02,1.500000000000000000e+00
5.369455390880311541e+01,-2.260428396989249578e+01,3.975778404625547324e+01,-5.129955728643239787e+00,-2.457389590103584154e-02,1.500000000000000000e+00
5.431890918681245495e+01,-2.234675083696717479e+01,4.032654948198452871e+01,-5.145107076151779424e+00,-2.396046258094032891e-02,1.500000000000000000e+00
5.494326446482179449e+01,-2.208074213059061464e+01,4.089139022943748358e+01,-5.159875935378559930e+00,-2.334964710585451381e-02,1.500000000000000000e+00
5.556761974283112693e+01,-2.180651398817919429e+01,4.145228583123827804e+01,-5.174363185605516335e+00,-2.316774112354349005e-02,1.500000000000000000e+00
5.619197502084046647e+01,-2.152419812236132302e+01,4.200916130231632195e+01,-5.188818275410122638e+00,-2.313705955240469639e-02,1.500000000000000000e+00
5.681633029884980601e+01,-2.123386512954586536e+01,4.256190410434562210e+01,-5.203259562704295682e+00,-2.314620332495168076e-02,1.500000000000000000e+00
5.744068557685914556e+01,-2.093557445622631263e+01,4.311038998272303502e+01,-5.217735796601909115e+00,-2.322653722030198001e-02,1.500000000000000000e+00
5.806504085486848510e+01,-2.062936184486443025e+01,4.365449160249762883e+01,-5.232264094428820123e+00,-2.331303284336570109e-02,1.500000000000000000e+00
5.868939613287782464e+01,-2.031520474260138442e+01,4.419405791958494234e+01,-5.247146155300151271e+00,-2.439283482251766375e-02,1.500000000000000000e+00
5.931375141088716418e+01,-1.999287563839986603e+01,4.472876235323177241e+01,-5.262725426661210015e+00,-2.551353612994674072e-02,1.500000000000000000e+00
5.993810668889649662e+01,-1.966208106029319680e+01,4.525826624691446654e+01,-5.278921185106469238e+00,-2.616648876648420760e-02,1.500000000000000000e+00
6.056246196690583616e+01,-1.932268031295791388e+01,4.578230309583123159e+01,-5.295353839831035359e+00,-2.647346985074617784e-02,1.500000000000000000e+00
6.118681724491517571e+01,-1.897466141307360132e+01,4.630066273239948771e+01,-5.311985845806921347e+00,-2.688550948625780673e-02,1.500000000000000000e+00
6.181117252292451525e+01,-1.861798116910585321e+01,4.681308877325825790e+01,-5.329036686958659175e+00,-2.773564989477194168e-02,1.500000000000000000e+00
6.243552780093385479e+01,-1.825247330881787988e+01,4.731927221231063641e+01,-5.346621289541283240e+00,-2.859370997993191180e-02,1.500000000000000000e+00
6.305988307894319433e+01,-1.787799592008136074e+01,4.781885168559495725e+01,-5.364695148962311144e+00,-2.926416546367558921e-02,1.500000000000000000e+00
6.368423835695253388e+01,-1.749445368963431591e+01,4.831150527536527761e+01,-5.383163626771414023e+00,-2.989789714586129146e-02,1.500000000000000000e+00
6.430859363496186631e+01,-1.710177185727689064e+01,4.879691437614933136e+01,-5.402119156591701277e+00,-3.122520769548376221e-02,1.500000000000000000e+00
6.493294891297121296e+01,-1.669968678681756202e+01,4.927455857991112254e+01,-5.422339172215295378e+00,-3.354727357057597781e-02,1.500000000000000000e+00
6.555730419098054540e+01,-1.628770666461105776e+01,4.974365321077346636e+01,-5.444011424535224464e+00,-3.585412192822262645e-02,1.500000000000000000e+00
6.618165946898989205e+01,-1.586538322319789174e+01,5.020347471044119203e+01,-5.466699686935456270e+00,-3.682766933645097163e-02,1.500000000000000000e+00
6.680601474699922449e+01,-1.543259249335880234e+01,5.065347123122458584e+01,-5.490002165519627830e+00,-3.781966029933764989e-02,1.500000000000000000e+00
6.743037002500855692e+01,-1.498928472305813031e+01,5.109306328549869392e+01,-5.514321618477311837e+00,-4.082011119986093950e-02,1.500000000000000000e+00
6.805472530301790357e+01,-1.453490937021245877e+01,5.152121054585062865e+01,-5.541107871170553700e+00,-4.498825055750361318e-02,1.500000000000000000e+00
6.867908058102723601e+01,-1.406868658091372737e+01,5.193643438099019960e+01,-5.570444889659835752e+00,-4.848785132992768782e-02,1.500000000000000000e+00
6.930343585903658266e+01,-1.359025267470198806e+01,5.233733762288270697e+01,-5.601165199016663543e+00,-4.994617219229843808e-02,1.500000000000000000e+00
6.992779113704591509e+01,-1.309932584362636554e+01,5.272330442739873035e+01,-5.632821342667161169e+00,-5.143715252712632857e-02,1.500000000000000000e+00
7.055214641505526174e+01,-1.259624715080986235e+01,5.309298350465739702e+01,-5.666917642606158267e+00,-5.867639039313292393e-02,1.500000000000000000e+00
7.117650169306459418e+01,-1.207993455174471187e+01,5.344400278510705249e+01,-5.706166312067957769e+00,-6.705877297616137656e-02,1.500000000000000000e+00
