color,X,Y
blue,0.0723188,17.287
blue,0.0807814,17.3125
blue,0.0892761,17.338
blue,0.0978026,17.3635
blue,0.106361,17.3889
blue,0.114952,17.4144
blue,0.123575,17.4398
blue,0.13223,17.4652
blue,0.140917,17.4906
blue,0.149636,17.516
blue,0.158388,17.5414
blue,0.167172,17.5668
blue,0.175988,17.5922
blue,0.184837,17.6175
blue,0.193718,17.6429
blue,0.202632,17.6682
blue,0.211578,17.6935
blue,0.220557,17.7188
blue,0.229569,17.7441
blue,0.238613,17.7694
blue,0.247691,17.7947
blue,0.2568,17.82
blue,0.265943,17.8452
blue,0.275119,17.8705
blue,0.284327,17.8957
blue,0.293569,17.9209
blue,0.302844,17.9461
blue,0.312151,17.9713
blue,0.321492,17.9965
blue,0.330866,18.0216
blue,0.340273,18.0468
blue,0.349714,18.0719
blue,0.359187,18.097
blue,0.368694,18.1222
blue,0.378235,18.1473
blue,0.387809,18.1723
blue,0.397416,18.1974
blue,0.407057,18.2225
blue,0.416732,18.2475
blue,0.42644,18.2726
blue,0.436182,18.2976
blue,0.445957,18.3226
blue,0.455762,18.3476
blue,0.465601,18.3726
blue,0.475473,18.3975
blue,0.485378,18.4225
blue,0.495314,18.4474
blue,0.505283,18.4723
blue,0.515283,18.4972
blue,0.525315,18.5221
blue,0.535377,18.547
blue,0.54547,18.5719
blue,0.555593,18.5968
blue,0.565745,18.6216
blue,0.575927,18.6465
blue,0.586137,18.6713
blue,0.596376,18.6961
blue,0.606644,18.7209
blue,0.616939,18.7457
blue,0.627261,18.7705
blue,0.637611,18.7953
blue,0.647987,18.82
blue,0.65839,18.8448
blue,0.668818,18.8695
blue,0.679272,18.8943
blue,0.689752,18.919
blue,0.700256,18.9437
blue,0.710784,18.9684
blue,0.721337,18.9931
blue,0.731914,19.0178
blue,0.742513,19.0425
blue,0.753136,19.0671
blue,0.763781,19.0918
blue,0.774449,19.1164
blue,0.785138,19.1411
blue,0.795849,19.1657
blue,0.806581,19.1903
blue,0.817334,19.2149
blue,0.828107,19.2396
blue,0.838901,19.2642
blue,0.849713,19.2887
blue,0.860545,19.3133
blue,0.871396,19.3379
blue,0.882266,19.3625
blue,0.893153,19.387
blue,0.904059,19.4116
blue,0.914981,19.4361
blue,0.925921,19.4607
blue,0.936878,19.4852
blue,0.94785,19.5097
blue,0.958839,19.5343
blue,0.969843,19.5588
blue,0.980862,19.5833
blue,0.991897,19.6078
blue,1.00295,19.6323
blue,1.01401,19.6568
blue,1.02508,19.6813
blue,1.03617,19.7058
blue,1.04728,19.7302
blue,1.05839,19.7547
blue,1.06952,19.7792
blue,1.08066,19.8036
blue,1.09181,19.8281
blue,1.10297,19.8525
blue,1.11414,19.877
blue,1.12532,19.9014
blue,1.13652,19.9259
blue,1.14772,19.9503
blue,1.15893,19.9747
blue,1.17015,19.9992
blue,1.18138,20.0236
blue,1.19262,20.048
blue,1.20386,20.0724
blue,1.21511,20.0968
blue,1.22637,20.1213
blue,1.23764,20.1457
blue,1.24891,20.1701
blue,1.26019,20.1945
blue,1.27147,20.2189
blue,1.28276,20.2433
blue,1.29405,20.2677
blue,1.30535,20.2921
blue,1.31665,20.3165
blue,1.32796,20.3409
blue,1.33926,20.3652
blue,1.35058,20.3896
blue,1.36189,20.414
blue,1.37321,20.4384
blue,1.38452,20.4628
blue,1.39584,20.4872
blue,1.40716,20.5116
blue,1.41848,20.5359
blue,1.4298,20.5603
blue,1.44113,20.5847
blue,1.45245,20.6091
blue,1.46377,20.6335
blue,1.47508,20.6579
blue,1.4864,20.6822
blue,1.49772,20.7066
blue,1.50903,20.731
blue,1.52034,20.7554
blue,1.53165,20.7798
blue,1.54295,20.8042
blue,1.55425,20.8286
blue,1.56555,20.853
blue,1.57684,20.8773
blue,1.58812,20.9017
